iter	Passed	Remaining
0	170	8360
1	315	7581
2	461	7231
3	633	7284
4	793	7137
5	979	7182
6	1175	7219
7	1335	7009
8	1548	7053
9	1730	6920
10	1909	6770
11	2116	6701
12	2308	6570
13	2513	6462
14	2711	6327
15	2923	6212
16	3142	6099
17	3368	5987
18	3595	5865
19	3811	5717
20	4050	5593
21	4286	5455
22	4509	5293
23	4751	5147
24	5003	5003
25	5267	4862
26	5515	4698
27	5749	4517
28	5986	4334
29	6222	4148
30	6462	3960
31	6686	3761
32	6920	3565
33	7147	3363
34	7375	3161
35	7622	2964
36	7852	2759
37	8083	2552
38	8409	2371
39	8661	2165
40	8889	1951
41	9129	1738
42	9367	1524
43	9649	1315
44	9899	1099
45	10142	881
46	10377	662
47	10619	442
48	10857	221
49	11090	0
